>>>	-651	417	-560	-927	-650	412	-821	-1096	-302	-666	-692	-948	421	-1387	-1281	-170	-451	-154	-987
>>>	1089	-691	-223	-1174	-1371	-108	-1093	-264	-834	-48	-1301	-1060	-202	1088	-1363	1091	-734	-986	-268
>>>	-1006	-408	147	-1043	-1173	-935	-525	149	-200	-1309	-138	-338	-97	144	-233	-182	-451	-1465	-689
>>>	-874	-1169	-119	-1139	-215	-1129	-149	-158	-326	371	367	-299	-363	375	-731	-1118	-2	-895	-1030
>>>	-23	-1040	-878	-680	-480	-615	363	-1374	-978	-1329	-887	-1211	-871	-27	-829	366	-1152	359	-35
>>>	-391	273	-552	-1261	-766	-56	-197	-1390	-355	277	-1336	270	-722	-74	-1097	-1467	-1175	-916	-899
>>>	-874	-495	-1344	-1139	-837	-449	-611	-1188	-1260	-899	236	-1430	-525	232	-471	239	-225	-539	-1068
>>>	273	277	-430	-973	-541	-583	-117	269	-143	-339	-544	-1266	-1192	-1299	-447	-247	-1146	-932	-922
>>>	-215	313	-54	318	-1385	308	-104	-1305	-1369	-1063	317	-1062	-378	-636	-120	-395	-1140	-208	-328
>>>	-631	-542	-1269	-389	-755	-1174	-601	458	-619	-1	-603	-1005	454	-854	-841	-547	-990	-537	462
